Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor
8th Regiment Departing for Texas & Relatives of 8th Regiment Troops,,,,"""Something New in Movies."" The Chicago Defender (Big Weekend Edition) (1905-1966), Apr 27, 1918.",Foster Photoplay Company,5/1/18,5/1/18,,,Foster,Foster,,out (9).pdf (https://dl.airtable.com/na2Nrx7oQnGzwj9AVZ8M_out%20(9).pdf),The Ambitions of William Foster,,,,
8th Regiment in Chicago,,Actuality,,"According to Musser et al., An Oscar Micheaux Filmography (in Bowser et al.)., Micheaux's authorship is uncertain.",Micheaux Film Corporation,2/17/19,2/20/19,1,,,,,?spot=5238885#spot=5238885 (https://dl.airtable.com/1oEHVatrSoGM16XHVjJl_%3Fspot%3D5238885%23spot%3D5238885),Oscar Micheaux and His Circle,,,,
A Black and Tan Mix-Up,,Comedy,,"Box 53, F28, GPJ Collection.See also ad in Tonawanda (NY) Evening News, Dec. 1, 1918, p. 4. Ad in Rome (NY) Daily Sentinel, Oct. 4, 1918, p. 2.Ad in Utica (NY) Herald-Dispatch, Dec. 3, 1918, p. 11. ",Ebony Film Corporation,1/1/18,1/1/18,2,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"Richard E. Norman and Race Filmmaking,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,
A Black Sherlock Holmes,,Comedy,,,Ebony Film Corporation,1/1/18,1/1/18,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",Phillips,,,,"Richard E. Norman and Race Filmmaking,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Busted Romance,,,,,Ebony Film Corporation,1/1/18,,,,,,,,George P. Johnson Negro Film Collection,,,,
A Child in Pawn,,,,,D.W.D. Film Corporation,1/1/21,1/1/21,5,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Chocolate Cowboy,,"Western,Comedy",,"Denton (TX) Record-Chronicle, Jan. 1, 1931, p. 8.Amarillo (TX) Globe-Times, Sept. 11, 1930, p. 8.Rushville (IN) Republican, April 15, 1930, p. 4.",Cyclone Pictures,1/1/25,1/1/25,,"Parker,Reavis",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Dark Lover's Play,,,,,Mack Sennett,,,,,,,,,Slow Fade to Black,,,,
A Daughter of Pharoah,,,,"Box 53, F28",Trinity Film Corporation,1/1/20,1/1/20,6,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,
A Daughter of the Congo,,Drama,,Some sound. Cast list from Richards and Musser et al.. --MP,Micheaux Film Corporation,1/1/30,1/1/30,9,"Byrd,Noisette,Williams,Redd,Tucker,Irving,Russell,Moore,Snelson,Verwayen,Robinson,Whitney,Guilford,Wilson,Harding,Dawson",Micheaux,Burton,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Downing,,,
A Day at Tuskegee,,Actuality,,,Anderson-Watkins Film Exhibition Company,1/1/13,1/1/13,,,,,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Day in the Magic City of Birmingham,,Actuality,,"Box 53, F28",Pyramid Picture Corporation,1/1/20,1/1/20,1,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,
A Day in the Nation's Capital,,Actuality,,,Monumental Corporation,1/1/18,1/1/18,,Truate,,Clifford,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Day with the Tenth Cavalry at Fort Huachaca,,Actuality,,,Lincoln Motion Picture Company,1/1/22,1/1/22,,,,,Gant,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Debtor to the Law,,,,,Norman Film Manufacturing Company,1/1/24,1/1/24,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Fool and His Money,,,,,Solax Film Company,1/1/12,,,Russell,Guy-BlachÃ©,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Fool's Promise,Fool's Paradise,Drama,,,White Film Corporation,1/1/21,,5,,,,,,"Blacks in Black and White,George P. Johnson Negro Film Collection",,,,
A Ghost Hunt,,,,,White Film Corporation,1/1/21,,2,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Giant of His Race,,Drama,,"Described in Winston-Salem Journal (Winston-Salem, North Carolina) Â· Sun, May 15, 1921 Â· Page 21.",North State,1/1/21,1/1/21,,"Garbutt,Harritage,Fox,Pillups",,,Kirby,,"Slow Fade to Black,Blacks in Black and White",,,,
A Man's Duty,,,,"Ad: The Dallas Express (Dallas, Texas) Â· Sat, Apr 22, 1922 Â· First Edition Â· Page 2",Lincoln Motion Picture Company,1/1/19,1/1/19,,"Brooks,King,Darden,Gray,Johnson,Saunders ,White,Criner,Conners",Thomas,"Johnson,Johnson",Gant,clipping_5171268.pdf (https://dl.airtable.com/7hovOljTmihWtQf9Ktry_clipping_5171268.pdf),Richard E. Norman and Race Filmmaking,,,,
A Modern Cain,,Drama,"out(6).pdf (https://dl.airtable.com/gOaZnVdvT1S1GUVqRsGz_out(6).pdf),out(7).pdf (https://dl.airtable.com/p4ljQt40Qnm69xO7D8ft_out(7).pdf)","National edition) (1921-1967) [Chicago, Ill] 26 Nov 1921: 7; The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 12 Nov 1921: 6. -MC",Fife Production Company,1/1/21,,6,"Ward,Quarles,Williams,Harris,Carrols,Williams,Young,Mason,Everett",,,,,"Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,Comet Film Exchange
A Prince of His Race,,Drama,clipping_5212343.pdf (https://dl.airtable.com/lmpqyvuRmfWa0u7B26BA_clipping_5212343.pdf),"See Musser's filmography of CPFC in Bowser et al. --MPVerification: The New York Age (New York, New York)4 Dec 1926, Page 6 ",Colored Players Film Corporation of Philadelphia,1/1/26,1/1/26,8,"Gilpin,Henderson,Howard,Clayton,Chenault,Mickey,Smith",Calnek,"Starkman,Groner",,,"Slow Fade to Black,Oscar Micheaux and His Circle",Calnek,,,
A Reckless Rover,,Comedy,clipping_5212395.pdf (https://dl.airtable.com/zWpNayNwSTCnRUzDvR45_clipping_5212395.pdf),"Verification: Bisbee Daily Review (Bisbee, Arizona) 29 Dec 1918, Sunday, Page 6 -MC",Ebony Film Corporation,1/1/18,,,"Robinson,Jacks,Starks,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",David,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company
A Regeneration of Souls,,,,"unable to verify- MC",Whilco Film Corporation,1/1/21,,,"Jones,Nolan",Whipper,Whipper,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Review of the B.M.C. and Colored Business World,,Newsreel,,unable to verify- MC,Hunter C. Haynes Photoplay Company,1/1/14,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Scrap in Black and White,,,,unable to verify - MC,"""Thomas A. Edison, Inc. """,1/1/03,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Shot in the Night,,"Drama,Comedy",out(5).pdf (https://dl.airtable.com/AaONrTRNSWS7g3ImQ1Ju_out(5).pdf),"Afro-American (1893-1988) [Baltimore, Md] 28 Sep 1929: A8 -MC",North State,1/1/22,,,"Smart,Hoelby,Long,Freeman,Amos,Tolliver Brothers",,Strasser,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
