actors,films
Robert Abbott,The Millionaire
Mrs. Robert Abbott,The Millionaire
Edward R. Abrahams,The Sport of the Gods
Edward R. Abrahams,The Gunsaulus Mystery
Howard Agusta,Smiling Hate
Howard Agusta,Children of Fate
Chester A. Alexander,Body and Soul
Anna Lou Allen,Hearts of the Woods
Tom Amos,A Shot in the Night
Charles H. Anderson,Uncle Remus' First Visit to New York
Mrs. Charles H. Anderson,Uncle Remus' First Visit to New York
Ida Anderson,Deceit
Ida Anderson,A Son of Satan
Ida Anderson,The Secret Sorrow
Ida Anderson,Gayety
Ida Anderson,Ghost of Tolson's Manor
A.E Anson,Arrowsmith
Emmett Anthony,A Son of Satan
Emmett Anthony,Ghost of Tolson's Manor
Jean Armour,The Sport of the Gods
Billy Arnett,The Fall of the Mighty
Grace Arnett,The Fall of the Mighty
Sam Arnold,The Barber
Willie Arnster,Steamboat Bill Jr.
Ida Askins,The Colored American Wining His Suit
Jack Austin,The Green-Eyed Monster
Jack Austin,The Green Eyed Monster
William Baker,The Wages of Sin
William Baker,The Sea Beast
Josephine Baker,The Siren of the Tropics
Josephine Baker,The Count
Josephine Baker,The Revue des Revues
Sam Baker,The Thief of Bagdad
Sam Baker,The Road to Mandalay
Sam Baker,The Missing Link
Sam Baker,Grandma Bernie Learns Her Letters
Sam Baker,Louisiana
Sam Baker,The Golden Lion
Sam Baker,Tarzan
Edna Barr,Spider's Web
Lester Bates,By Right of Birth
Leo Bates,By Right of Birth
Bessye Bearden,The Gunsaulus Mystery
Bessye Bearden,The Gunsaulus Mystery
Spencer Bell,Tenderfeet
Richard Bennett,Arrowsmith
Jesse R. Billings,Deceit
Sylvia Birdsong,The Wages of Sin
Sylvia Birdsong,The Witching Eyes
Amy Birdsong,Marcus Garland
Andrew S. Bishop,Temptation
Andrew S. Bishop,A Son of Satan
Andrew S. Bishop,The House Behind the Cedars
Andrew S. Bishop,Ghost of Tolson's Manor
Eubie Blake,Chocolate Dandies
Eubie Blake,Sissle and Blake
Eubie Blake,Sissle and Blake
Lottie Boles,The Realization of a Negro's Ambition
Henderson Bowen,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders
Laura Bowman,The Brute
Kathryn Boyd,The Flying Ace
Kathryn Boyd,Black Gold
Elizabeth Boyer,The Sport of the Gods
Elizabeth Boyer,Shuffling Jane
Vera Bracken,The Millionaire
I.D. Bradford,The Fall of the Mighty
Walter Brogsdale,Are Working Girls Safe?
Walter Brogsdale,A Black and Tan Mix-Up
Walter Brogsdale,A Black Sherlock Holmes
Walter Brogsdale,The Bully
Walter Brogsdale,The Comeback of Barnacle Bill
Walter Brogsdale,Dat Blackhand Waitah Man
Walter Brogsdale,Devil for a Day
Walter Brogsdale,Do the Dead Talk?
Walter Brogsdale,Fixing the Faker
Walter Brogsdale,The Porters
Walter Brogsdale,A Reckless Rover
Walter Brogsdale,Shine Johnson and the Rabbit Foot
Walter Brogsdale,When Cupid Went Wild
