id,type
Robert Abbott,actor
Mrs. Robert Abbott,actor
Edward R. Abrahams,actor
Howard Agusta,actor
Chester A. Alexander,actor
Anna Lou Allen,actor
Tom Amos,actor
Charles H. Anderson,actor
Mrs. Charles H. Anderson,actor
Ida Anderson,actor
A.E Anson,actor
Emmett Anthony,actor
Jean Armour,actor
Billy Arnett,actor
Grace Arnett,actor
Sam Arnold,actor
Willie Arnster,actor
Ida Askins,actor
Jack Austin,actor
William Baker,actor
Josephine Baker,actor
Sam Baker,actor
Edna Barr,actor
Lester Bates,actor
Leo Bates,actor
Bessye Bearden,actor
Spencer Bell,actor
Richard Bennett,actor
Jesse R. Billings,actor
Sylvia Birdsong,actor
Amy Birdsong,actor
Andrew S. Bishop,actor
Eubie Blake,actor
Lottie Boles,actor
Henderson Bowen,actor
Laura Bowman,actor
Kathryn Boyd,actor
Elizabeth Boyer,actor
Vera Bracken,actor
I.D. Bradford,actor
Walter Brogsdale,actor
Clarence Brooks,actor
Lucius Brooks,actor
Kid Brown,actor
George Edward Brown,actor
Lucille Brown,actor
Tom Brown,actor
Jerry Brown,actor
N. Brown,actor
Edward Brown,actor
Margaret Brown,actor
Frank Brown,actor
Roberta Brown,actor
R.L. Brown,actor
Sandy Burns,actor
Fannette Burns,actor
Jim Burris,actor
James Burroughs,actor
John Burton,actor
Marie Burton-Hyman,actor
Myra Burwell,actor
Anita Bush,actor
William Butler,actor
Joe Byrd,actor
Lillian Byron,actor
Royal Byron,actor
James Carey,actor
Sadie Carey,actor
Erna Carise,actor
Vivian Carrols,actor
Barrington Carter,actor
Frank Carter,actor
Bruxton Carter,actor
Big Sid Cartlett,actor
George Catlin,actor
Beth Challis,actor
Frank Chatman,actor
Lawrence Chenault,actor
Jack Chenault,actor
Slick Chester,actor
Marie Chester,actor
Helen Childers,actor
Alvin Childress,actor
Hattie Christian,actor
William H. Clark,actor
William Clayton,actor
Flo Clements,actor
Stebeno Clements,actor
Inez Clough,actor
Frank Colbert,actor
J. Coldwell,actor
Ronald Coleman,actor
George Colvin,actor
Irene Conn,actor
Mrs. Conners,actor
Sam Cook,actor
Jimmie Cook,actor
Louise Cook,actor
Earl Brown Cooke,actor
Kinky Cooper,actor
Walter Cornick,actor
Ann Cornell,actor
Jimmie Cox,actor
Jewel Cox,actor
Sam Crawford,actor
Baltimore Criddle,actor
J. Lawrence Criner,actor
Jeanette Criner,actor
J. Crockett,actor
Orma Crosby,actor
T.C. Crowell,actor
W.F. Crowell,actor
Virgil Custard,actor
Marty Cutler,actor
Ardelle Dabney,actor
Lyons Daniels,actor
Tasmania Darden,actor
Marshall Davis,actor
Rudolph Dawson,actor
War Day,actor
Jeanne de Balzac,actor
Louis De Bulger,actor
William Deans,actor
A.B. DeComathiere,actor
Herman DeLa Valade,actor
Boise DeLegge,actor
E.M. Dennis,actor
Cleo Desmond,actor
Josiah Diggs,actor
Allen D. Dixon,actor
Henry Dixon,actor
Gabrielle Dixon,actor
John Doe,actor
Sidney P. Dones,actor
Marie Dove,actor
Sherman Dudley,actor
Oscar Roy Dugas,actor
Dorothy Dumont,actor
Louise Dunbar,actor
Dorothy Dunbar,actor
Vernon S. Duncan,actor
Robert Duree,actor
Sidney Easton,actor
William Edmondson,actor
Mattie Edwards,actor
Grant Edwards,actor
John Edwards,actor
Edward Elkas,actor
Grace Ellenwood,actor
George W. Ellis,actor
Evelyn Ellis,actor
James Reese Europe,actor
Mrs. Evelyn,actor
Estelle Everett,actor
Munzell Everett,actor
Master Henry Faltenburg,actor
Jacque Farmer,actor
Don Ferrando,actor
Romaine Fielding,actor
Tom Fletcher,actor
Oroville Fletcher,actor
Ethel Fletcher,actor
Tiger Flowers,actor
Jim Flynn,actor
"Andrew ""Rube"" Foster",actor
Daisy Foster,actor
William E. Fountaine,actor
George Fox,actor
Edward Fraction,actor
Ruth Freeman,actor
Maud Frisbie,actor
Louise Fullen,actor
Charles Gaines,actor
Al Gaines,actor
Leonard Galezio,actor
Anthony Gaytzera,actor
Beatrice George,actor
William George,actor
Bessie Gibbens,actor
Mae Gibson,actor
Mercedes Gilbert,actor
Allie Gilliam,actor
Charles Gilpin,actor
J.K. Goodman,actor
Alice Gorgas,actor
Grant Gorman,actor
Ned Gourdin,actor
H.C. Grant,actor
Ethel Gray,actor
Eddie Green,actor
Joe Green,actor
Sarah Green,actor
Richard Gregg,actor
Alex Griffin,actor
Willor Lee Guilford,actor
Billy Gulport,actor
Sheila Guyse,actor
Pete Haddon,actor
Lindsay J. Hall,actor
Beulah Hall,actor
Iris Hall,actor
Daisy Harding,actor
Billy Harper,actor
Stella Harris,actor
Clifford Harris,actor
Leorine Harris,actor
Henry Harris,actor
LaFont Harris,actor
Harriet Harris,actor
Richard B. Harrison,actor
Fred Hart,actor
Monte Hawley,actor
Helen Hayes,actor
Hunter Haynes,actor
John C. Hemment,actor
Harry Henderson,actor
Frances Henderson,actor
Milton Henry,actor
Kid Herman,actor
W. Hill,actor
Rudolph Hind,actor
Walter Hoelby,actor
Anna Holt,actor
King Russell Hopton,actor
P. D. Horn,actor
Boots Horne,actor
Shingzie Howard,actor
Roland Irving,actor
Samuel Jacks,actor
Alonzo Jackson,actor
Al Jackson,actor
Zodiac Jackson,actor
Joe Jeannette,actor
Herbert Jeffrey,actor
Wesley Jenkins,actor
Noble Johnson,actor
Lillian Johnson,actor
Maud Johnson,actor
William Johnson,actor
Jack Johnson,actor
John Lester Johnson,actor
Ralph Johnson,actor
Eva Johnson,actor
Norman Johnstone,actor
Wesley Jones,actor
Maud Jones,actor
Clayburn Jones,actor
Lila Walker Jones,actor
Sam Jordan,actor
Andrian Joyce,actor
Elvin Joynes,actor
Yvonne Junior,actor
Thias Nehli Kalana,actor
Buster Keaton,actor
Howard Kelly,actor
Mabel Kelly,actor
Robert A. Kelly,actor
Anna Kelson,actor
Mae Kemp,actor
Baby Ruth Kinbrough,actor
Webb King,actor
F. King,actor
Edward E. King,actor
Alex Kroll,actor
John La Rue,actor
Bernice Ladd,actor
Sammie Lane,actor
Sam Langford,actor
George Larkin,actor
Ed Lawrence,actor
Fighting Bob Lawson,actor
Will Lee,actor
Johnny Lee,actor
Fred Leighton,actor
Tom Lemonier,actor
George Lewin,actor
Warren Lewis,actor
Mae Lewis,actor
Edgar Lillerson,actor
Edgar Lillison,actor
Rosa Lee Lincoln,actor
Lena Loach,actor
Ida Lochart,actor
Walter Long,actor
Harry Lorain,actor
Henrietta Loveless,actor
Buck Lucas,actor
Charles D. Lucas,actor
George Lucas,actor
Andre Luquet,actor
Aubrey Lyles,actor
Cincinattus Major,actor
Roxie Mankins,actor
John Marshall,actor
Jimmy Marshall,actor
Matt Marshall,actor
Daisy Martin,actor
Ruby Mason,actor
Julia Mason,actor
Youth Mason,actor
P. Massey,actor
Richard Danal Maurice,actor
Richard Maurice,actor
M.C. Maxwell,actor
Mabel May,actor
Stella Mayo,actor
Betti Mays-Sibil,actor
Florence McClain,actor
Ira O. McGowan,actor
Lawrence McGuire,actor
Lorenzo McLane,actor
Lew Meehan,actor
Arline Mickey,actor
Viola Miles,actor
Mrs. Irvin C. Miller,actor
Fournoy E. Miller,actor
Billy Mills,actor
Jerry Mills,actor
Gertrude Mills,actor
William Milton,actor
Callie Mines,actor
Abbie Mitchell,actor
Dora Mitchell,actor
Lionel Monagas,actor
Frank Montgomery,actor
Edward Moore,actor
Charles Moore,actor
Tim Moore,actor
Gertrude Moore,actor
Bertie Moralis,actor
Eddie Moran,actor
Jimmy Mordecai,actor
Ernest  Morison,actor
Mae Morris,actor
Edna Morton,actor
Lucia Lynn Moses,actor
Ethel Moses,actor
Thomas M. Mosley,actor
Bert Murphy,actor
Clarence Muse,actor
Howard Nelson,actor
Calvin Nicholson,actor
Katherine Noisette,actor
Kid Nolan,actor
Alfred Norcom,actor
George Ovey,actor
Virgel Owens,actor
Mabel Paige,actor
Fred Parker,actor
Florence Parlam,actor
E. Patrick,actor
Marguerite Patterson,actor
Warren Patterson,actor
Jonella Patton,actor
Ike Paul,actor
Charles Pearson,actor
Clarence Penalver,actor
William Peterson,actor
Albertine Pickens,actor
Bill Pickett,actor
Don Pierson,actor
Henry Plater,actor
Harold Platts,actor
Henry Pleasants,actor
Frank Pollard,actor
Lucille Pope,actor
Leo Pope,actor
Eric Portman,actor
Evelyn Preer,actor
Minnie Prevost,actor
Mildred Price,actor
Victor Price,actor
H.L. Pryor,actor
Jessie Purty,actor
Paul J. Rainey,actor
maha Rajah,actor
Arthur Ray,actor
Ellen Ray,actor
Teddy Reavis,actor
Clarence Redd,actor
George Reed,actor
Steve Reynolds,actor
Versia Rice,actor
Sallie Richardson,actor
Ethel Ridley,actor
Paul Robeson,actor
Mademe Robinson,actor
Bill Robinson,actor
Arthur Robinson,actor
Sam Robinson,actor
James Robinson,actor
Walter Robinson,actor
Willard Robinson,actor
Marshall Rodgers,actor
Hilda Rogers,actor
